epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53951,2.48271,2.5044,2.42436,0.64604,0.66667,0.53537,0.16945,2.24491,2.32498,2.54511,0,0,0
2,7.03393,2.47769,2.21801,2.5094,0.76429,0.66667,0.60851,0.19876,2.22079,2.26521,2.49625,1.9604e-05,1.9604e-05,1.9604e-05
3,10.8579,2.5673,2.25074,2.30994,1,0.65325,0.6807,0.25239,2.17058,2.35792,2.42969,3.8416e-05,3.8416e-05,3.8416e-05
4,14.5831,2.36612,1.83736,2.07311,0.96299,0.5,0.63586,0.2703,2.06531,2.83638,2.23247,5.6436e-05,5.6436e-05,5.6436e-05
5,18.1154,1.94868,1.82382,2.05714,0.64835,0.66667,0.7228,0.29942,2.00611,2.78736,2.10728,7.3664e-05,7.3664e-05,7.3664e-05
6,21.6666,2.10965,1.76129,1.82475,0.70324,0.79466,0.79433,0.33021,1.92453,2.60256,1.94587,9.01e-05,9.01e-05,9.01e-05
7,25.2235,1.81673,1.63385,1.67235,0.84293,1,0.94786,0.41734,1.74171,2.37748,1.69712,0.000105744,0.000105744,0.000105744
8,28.8847,1.65572,1.47929,1.52691,0.83056,1,0.94786,0.47662,1.70898,2.46816,1.49352,0.000120596,0.000120596,0.000120596
9,32.4417,1.81195,1.69022,1.56722,0.83056,1,0.94786,0.47662,1.70898,2.46816,1.49352,0.000134656,0.000134656,0.000134656
10,35.9935,1.80131,1.61293,1.63863,0.98887,0.66667,0.86725,0.43694,1.51634,2.61141,1.38772,0.000147924,0.000147924,0.000147924
11,39.3228,1.75171,1.41797,1.55157,0.98887,0.66667,0.86725,0.43694,1.51634,2.61141,1.38772,0.0001604,0.0001604,0.0001604
12,43.0935,1.62608,1.45288,1.4883,0.76343,0.66667,0.7421,0.43904,1.41368,2.93187,1.3358,0.000172084,0.000172084,0.000172084
13,46.5241,1.6061,1.30721,1.43276,0.76343,0.66667,0.7421,0.43904,1.41368,2.93187,1.3358,0.000182976,0.000182976,0.000182976
14,49.9412,1.43368,1.35473,1.47487,0.64509,0.5,0.59967,0.38874,1.47545,2.59621,1.35897,0.000193076,0.000193076,0.000193076
15,53.3899,1.52072,1.26426,1.4385,0.64509,0.5,0.59967,0.38874,1.47545,2.59621,1.35897,0.000202384,0.000202384,0.000202384
16,56.8308,1.44715,1.56565,1.50774,0.79584,0.5,0.70527,0.42394,1.50644,1.91481,1.36062,0.0002109,0.0002109,0.0002109
17,60.3672,1.34346,1.22205,1.32066,0.79584,0.5,0.70527,0.42394,1.50644,1.91481,1.36062,0.000218624,0.000218624,0.000218624
18,63.8085,1.79623,1.4803,1.39888,0.65592,0.66667,0.70893,0.4352,1.60019,1.79866,1.38911,0.000225556,0.000225556,0.000225556
19,67.175,1.52503,1.3521,1.32016,0.65592,0.66667,0.70893,0.4352,1.60019,1.79866,1.38911,0.000231696,0.000231696,0.000231696
20,70.5765,1.66948,1.30657,1.39731,0.79787,0.65958,0.68471,0.36497,1.60602,2.11276,1.38731,0.000237044,0.000237044,0.000237044
21,73.9209,1.31994,1.30725,1.35638,0.79787,0.65958,0.68471,0.36497,1.60602,2.11276,1.38731,0.0002416,0.0002416,0.0002416
22,77.4621,1.41698,1.64414,1.44541,0.78609,0.62029,0.80544,0.49469,1.47706,1.9789,1.30165,0.000245364,0.000245364,0.000245364
23,81.1344,1.20639,1.07002,1.20425,0.78609,0.62029,0.80544,0.49469,1.47706,1.9789,1.30165,0.000248336,0.000248336,0.000248336
24,84.6954,1.13058,1.28869,1.19821,0.78609,0.62029,0.80544,0.49469,1.47706,1.9789,1.30165,0.000250516,0.000250516,0.000250516
25,88.4309,1.15118,0.98332,1.18798,0.99314,0.83333,0.92227,0.56673,1.31362,1.85696,1.19313,0.000251904,0.000251904,0.000251904
26,92.0135,1.4493,1.11743,1.31691,0.99314,0.83333,0.92227,0.56673,1.31362,1.85696,1.19313,0.0002525,0.0002525,0.0002525
27,95.7462,1.14131,1.05584,1.18955,0.99314,0.83333,0.92227,0.56673,1.31362,1.85696,1.19313,0.000252304,0.000252304,0.000252304
28,99.5943,1.13527,1.04507,1.1752,0.9606,0.66667,0.8931,0.55261,1.32079,1.86462,1.18535,0.000251316,0.000251316,0.000251316
29,103.034,1.07049,1.06109,1.15625,0.9606,0.66667,0.8931,0.55261,1.32079,1.86462,1.18535,0.000249536,0.000249536,0.000249536
30,106.878,1.23423,1.00319,1.20474,0.9606,0.66667,0.8931,0.55261,1.32079,1.86462,1.18535,0.000246964,0.000246964,0.000246964
31,110.475,1.17094,1.03173,1.23578,0.97145,0.66667,0.88243,0.51251,1.33543,1.57342,1.2066,0.0002436,0.0002436,0.0002436
32,122.758,1.09718,0.91981,1.1432,0.97145,0.66667,0.88243,0.51251,1.33543,1.57342,1.2066,0.000239444,0.000239444,0.000239444
33,134.743,1.01566,0.91592,1.07131,0.97145,0.66667,0.88243,0.51251,1.33543,1.57342,1.2066,0.000234496,0.000234496,0.000234496
34,138.381,1.15576,0.88141,1.16418,0.97441,0.66667,0.885,0.51196,1.3751,1.37811,1.25466,0.000228756,0.000228756,0.000228756
35,141.859,1.04799,0.93886,1.21542,0.97441,0.66667,0.885,0.51196,1.3751,1.37811,1.25466,0.000222224,0.000222224,0.000222224
36,145.682,1.03155,0.95842,1.10005,0.97441,0.66667,0.885,0.51196,1.3751,1.37811,1.25466,0.0002149,0.0002149,0.0002149
37,149.186,1.12439,1.0081,1.25167,0.97441,0.66667,0.885,0.51196,1.3751,1.37811,1.25466,0.000206784,0.000206784,0.000206784
38,152.8,1.04298,0.88935,1.1884,0.95363,0.66667,0.85852,0.50601,1.39829,1.31802,1.28643,0.000197876,0.000197876,0.000197876
39,156.215,1.15594,1.023,1.2365,0.95363,0.66667,0.85852,0.50601,1.39829,1.31802,1.28643,0.000188176,0.000188176,0.000188176
40,159.722,1.19033,0.96748,1.10104,0.95363,0.66667,0.85852,0.50601,1.39829,1.31802,1.28643,0.000177684,0.000177684,0.000177684
41,163.167,1.06664,1.13279,1.26182,0.95363,0.66667,0.85852,0.50601,1.39829,1.31802,1.28643,0.0001664,0.0001664,0.0001664
42,166.617,1.20942,1.24289,1.09461,0.95209,0.66667,0.885,0.51741,1.38828,1.34085,1.26971,0.000154324,0.000154324,0.000154324
43,170.274,1.03962,1.00646,1.16946,0.95209,0.66667,0.885,0.51741,1.38828,1.34085,1.26971,0.000141456,0.000141456,0.000141456
44,173.873,0.98312,1.00514,1.07366,0.95209,0.66667,0.885,0.51741,1.38828,1.34085,1.26971,0.000127796,0.000127796,0.000127796
45,177.252,0.95081,1.08546,1.08429,0.95209,0.66667,0.885,0.51741,1.38828,1.34085,1.26971,0.000113344,0.000113344,0.000113344
46,180.842,1.10386,1.04204,1.13587,1,0.66303,0.8931,0.5463,1.37389,1.32975,1.25319,9.81e-05,9.81e-05,9.81e-05
47,184.221,1.00536,0.99047,1.11424,1,0.66303,0.8931,0.5463,1.37389,1.32975,1.25319,8.2064e-05,8.2064e-05,8.2064e-05
48,187.655,1.0699,1.04675,1.15646,1,0.66303,0.8931,0.5463,1.37389,1.32975,1.25319,6.5236e-05,6.5236e-05,6.5236e-05
49,191.218,1.00233,0.91375,1.12945,1,0.66303,0.8931,0.5463,1.37389,1.32975,1.25319,4.7616e-05,4.7616e-05,4.7616e-05
50,195.075,1.12195,1.02868,1.28786,0.66322,1,0.8931,0.59218,1.36824,1.30256,1.24505,2.9204e-05,2.9204e-05,2.9204e-05
